2025-12-17 19:36:03,374 - num_epochs=80,batch_size=32,lr=0.0002,latent_dim=100,nfg=32,nfd=32,nc=1,lambda_gp=10,n_critic=5
2025-12-17 19:36:12,050 - Epoch [1/80], Step [200/1875], D Loss: -15.5302, G Loss: -6.6585, GP: 0.4299, D(x): 26.2597, D(G(z)): 6.4303
2025-12-17 19:36:17,697 - Epoch [1/80], Step [400/1875], D Loss: -7.5804, G Loss: 0.5840, GP: 0.0847, D(x): 9.4182, D(G(z)): 0.9909
2025-12-17 19:36:23,379 - Epoch [1/80], Step [600/1875], D Loss: -4.5601, G Loss: 0.3097, GP: 0.0525, D(x): 4.7151, D(G(z)): -0.3702
2025-12-17 19:36:29,042 - Epoch [1/80], Step [800/1875], D Loss: -4.1645, G Loss: -4.5143, GP: 0.0287, D(x): 8.6407, D(G(z)): 4.1890
2025-12-17 19:36:34,631 - Epoch [1/80], Step [1000/1875], D Loss: -2.6849, G Loss: -6.8924, GP: 0.0217, D(x): 10.2972, D(G(z)): 7.3952
2025-12-17 19:36:40,207 - Epoch [1/80], Step [1200/1875], D Loss: -3.7393, G Loss: -5.0115, GP: 0.0260, D(x): 9.0140, D(G(z)): 5.0147
2025-12-17 19:36:46,013 - Epoch [1/80], Step [1400/1875], D Loss: -3.2635, G Loss: -2.3003, GP: 0.0280, D(x): 6.5626, D(G(z)): 3.0195
2025-12-17 19:36:51,817 - Epoch [1/80], Step [1600/1875], D Loss: -3.3259, G Loss: -1.6481, GP: 0.0395, D(x): 5.9350, D(G(z)): 2.2145
2025-12-17 19:36:58,095 - Epoch [1/80], Step [1800/1875], D Loss: -2.2724, G Loss: -1.7585, GP: 0.0333, D(x): 4.9634, D(G(z)): 2.3579
2025-12-17 19:37:06,883 - Epoch [2/80], Step [200/1875], D Loss: -2.9565, G Loss: -3.7264, GP: 0.0202, D(x): 6.9595, D(G(z)): 3.8007
2025-12-17 19:37:13,338 - Epoch [2/80], Step [400/1875], D Loss: -3.2339, G Loss: -3.6269, GP: 0.0280, D(x): 7.1861, D(G(z)): 3.6720
2025-12-17 19:37:20,188 - Epoch [2/80], Step [600/1875], D Loss: -2.9432, G Loss: -6.5588, GP: 0.0238, D(x): 8.5228, D(G(z)): 5.3416
2025-12-17 19:37:26,014 - Epoch [2/80], Step [800/1875], D Loss: -2.1786, G Loss: -6.6601, GP: 0.0134, D(x): 8.7053, D(G(z)): 6.3924
2025-12-17 19:37:31,686 - Epoch [2/80], Step [1000/1875], D Loss: -2.4114, G Loss: -5.0766, GP: 0.0348, D(x): 8.2957, D(G(z)): 5.5362
2025-12-17 19:37:37,685 - Epoch [2/80], Step [1200/1875], D Loss: -2.7893, G Loss: -5.0627, GP: 0.0211, D(x): 7.7841, D(G(z)): 4.7836
2025-12-17 19:37:43,640 - Epoch [2/80], Step [1400/1875], D Loss: -2.8055, G Loss: -1.2426, GP: 0.0199, D(x): 4.5549, D(G(z)): 1.5505
2025-12-17 19:37:49,429 - Epoch [2/80], Step [1600/1875], D Loss: -2.5233, G Loss: -5.5607, GP: 0.0223, D(x): 8.0871, D(G(z)): 5.3405
2025-12-17 19:37:55,332 - Epoch [2/80], Step [1800/1875], D Loss: -2.5123, G Loss: -3.4232, GP: 0.0223, D(x): 6.2877, D(G(z)): 3.5524
2025-12-17 19:38:03,560 - Epoch [3/80], Step [200/1875], D Loss: -2.1608, G Loss: -2.2755, GP: 0.0274, D(x): 4.9914, D(G(z)): 2.5563
2025-12-17 19:38:09,524 - Epoch [3/80], Step [400/1875], D Loss: -1.8368, G Loss: -1.0360, GP: 0.0218, D(x): 2.7910, D(G(z)): 0.7361
2025-12-17 19:38:15,358 - Epoch [3/80], Step [600/1875], D Loss: -1.7229, G Loss: -1.3860, GP: 0.0154, D(x): 2.9282, D(G(z)): 1.0511
2025-12-17 19:38:21,411 - Epoch [3/80], Step [800/1875], D Loss: -2.0492, G Loss: -1.6510, GP: 0.0181, D(x): 3.6108, D(G(z)): 1.3807
2025-12-17 19:38:27,823 - Epoch [3/80], Step [1000/1875], D Loss: -2.7622, G Loss: 0.2610, GP: 0.0173, D(x): 2.3667, D(G(z)): -0.5684
2025-12-17 19:38:33,789 - Epoch [3/80], Step [1200/1875], D Loss: -2.3549, G Loss: 1.7403, GP: 0.0188, D(x): 0.8654, D(G(z)): -1.6777
2025-12-17 19:38:40,540 - Epoch [3/80], Step [1400/1875], D Loss: -2.4975, G Loss: -1.0530, GP: 0.0262, D(x): 4.0925, D(G(z)): 1.3334
2025-12-17 19:40:52,268 - num_epochs=80,batch_size=32,lr=0.0002,latent_dim=100,nfg=32,nfd=32,nc=1,lambda_gp=10,n_critic=5
2025-12-17 19:41:00,783 - Epoch [1/80], Step [200/1875], D Loss: -18.3188, G Loss: -5.4206, GP: 0.4021, D(x): 27.9075, D(G(z)): 5.5675
2025-12-17 19:41:06,370 - Epoch [1/80], Step [400/1875], D Loss: -8.4585, G Loss: -2.0147, GP: 0.1080, D(x): 11.5126, D(G(z)): 1.9741
2025-12-17 19:41:11,968 - Epoch [1/80], Step [600/1875], D Loss: -4.6568, G Loss: 0.6287, GP: 0.0359, D(x): 4.3832, D(G(z)): -0.6329
2025-12-17 19:41:17,565 - Epoch [1/80], Step [800/1875], D Loss: -3.7689, G Loss: 3.8644, GP: 0.0296, D(x): 0.3254, D(G(z)): -3.7396
2025-12-17 19:41:23,212 - Epoch [1/80], Step [1000/1875], D Loss: -3.1896, G Loss: 2.2121, GP: 0.0275, D(x): 1.3812, D(G(z)): -2.0836
2025-12-17 19:41:29,094 - Epoch [1/80], Step [1200/1875], D Loss: -3.4975, G Loss: 2.8619, GP: 0.0381, D(x): 0.9722, D(G(z)): -2.9064
2025-12-17 19:41:34,768 - Epoch [1/80], Step [1400/1875], D Loss: -3.2292, G Loss: 1.5961, GP: 0.0346, D(x): 1.9156, D(G(z)): -1.6591
2025-12-17 19:41:40,419 - Epoch [1/80], Step [1600/1875], D Loss: -3.2103, G Loss: -0.7370, GP: 0.0256, D(x): 3.6121, D(G(z)): 0.1460
2025-12-17 19:41:46,173 - Epoch [1/80], Step [1800/1875], D Loss: -3.3371, G Loss: 0.2888, GP: 0.0193, D(x): 3.9569, D(G(z)): 0.4264
2025-12-17 19:42:15,208 - num_epochs=80,batch_size=32,lr=0.0002,latent_dim=100,nfg=32,nfd=32,nc=1,lambda_gp=10,n_critic=5
2025-12-17 19:42:23,842 - Epoch [1/80], Step [200/1875], D Loss: -15.4258, G Loss: -1.4206, GP: 0.4016, D(x): 19.0161, D(G(z)): -0.4262
2025-12-17 19:42:29,435 - Epoch [1/80], Step [400/1875], D Loss: -8.0060, G Loss: 6.9596, GP: 0.1219, D(x): 3.0225, D(G(z)): -6.2029
2025-12-17 19:42:35,045 - Epoch [1/80], Step [600/1875], D Loss: -6.3256, G Loss: 5.5810, GP: 0.0940, D(x): 1.6347, D(G(z)): -5.6306
2025-12-17 19:42:40,712 - Epoch [1/80], Step [800/1875], D Loss: -3.7724, G Loss: -0.7101, GP: 0.0396, D(x): 5.2389, D(G(z)): 1.0708
2025-12-17 19:42:46,444 - Epoch [1/80], Step [1000/1875], D Loss: -3.0297, G Loss: -5.3277, GP: 0.0335, D(x): 8.6224, D(G(z)): 5.2573
2025-12-17 19:42:52,261 - Epoch [1/80], Step [1200/1875], D Loss: -3.5894, G Loss: -3.2184, GP: 0.0423, D(x): 6.8085, D(G(z)): 2.7961
2025-12-17 19:42:58,113 - Epoch [1/80], Step [1400/1875], D Loss: -3.4557, G Loss: -0.4452, GP: 0.0466, D(x): 5.0661, D(G(z)): 1.1439
2025-12-17 19:43:03,982 - Epoch [1/80], Step [1600/1875], D Loss: -3.1312, G Loss: -2.3473, GP: 0.0412, D(x): 5.8040, D(G(z)): 2.2611
2025-12-17 19:43:09,921 - Epoch [1/80], Step [1800/1875], D Loss: -2.6130, G Loss: -0.0052, GP: 0.0413, D(x): 3.4049, D(G(z)): 0.3785
2025-12-17 19:43:18,344 - Epoch [2/80], Step [200/1875], D Loss: -2.5114, G Loss: 0.2238, GP: 0.0229, D(x): 1.6228, D(G(z)): -1.1175
2025-12-17 19:43:24,363 - Epoch [2/80], Step [400/1875], D Loss: -2.5020, G Loss: -0.0756, GP: 0.0198, D(x): 2.6050, D(G(z)): -0.0946
2025-12-17 19:43:30,324 - Epoch [2/80], Step [600/1875], D Loss: -2.0428, G Loss: 1.5098, GP: 0.0214, D(x): 0.4718, D(G(z)): -1.7850
2025-12-17 19:43:36,591 - Epoch [2/80], Step [800/1875], D Loss: -2.4486, G Loss: -0.5784, GP: 0.0182, D(x): 2.8045, D(G(z)): 0.1735
2025-12-17 19:43:43,469 - Epoch [2/80], Step [1000/1875], D Loss: -3.2203, G Loss: 0.0442, GP: 0.0187, D(x): 2.7200, D(G(z)): -0.6871
2025-12-17 19:43:49,791 - Epoch [2/80], Step [1200/1875], D Loss: -2.1688, G Loss: 3.0216, GP: 0.0125, D(x): -0.3304, D(G(z)): -2.6243
2025-12-17 19:43:55,825 - Epoch [2/80], Step [1400/1875], D Loss: -2.1358, G Loss: 3.4193, GP: 0.0258, D(x): -1.6540, D(G(z)): -4.0479
2025-12-17 19:44:01,863 - Epoch [2/80], Step [1600/1875], D Loss: -1.2921, G Loss: 6.0667, GP: 0.0242, D(x): -5.4178, D(G(z)): -6.9519
2025-12-17 19:44:07,930 - Epoch [2/80], Step [1800/1875], D Loss: -2.7398, G Loss: 2.5068, GP: 0.0176, D(x): 0.3166, D(G(z)): -2.5996
2025-12-17 19:44:16,593 - Epoch [3/80], Step [200/1875], D Loss: -2.1622, G Loss: 5.8009, GP: 0.0171, D(x): -4.1834, D(G(z)): -6.5168
2025-12-17 19:44:23,861 - Epoch [3/80], Step [400/1875], D Loss: -1.6915, G Loss: 5.6122, GP: 0.0174, D(x): -3.5584, D(G(z)): -5.4243
2025-12-17 19:44:30,156 - Epoch [3/80], Step [600/1875], D Loss: -1.8172, G Loss: 6.8404, GP: 0.0142, D(x): -4.8032, D(G(z)): -6.7622
2025-12-17 19:44:36,338 - Epoch [3/80], Step [800/1875], D Loss: -2.7184, G Loss: 6.9922, GP: 0.0141, D(x): -4.6654, D(G(z)): -7.5251
2025-12-17 19:44:42,497 - Epoch [3/80], Step [1000/1875], D Loss: -1.7223, G Loss: 7.6434, GP: 0.0184, D(x): -5.8313, D(G(z)): -7.7378
